1,Product 1,Product description 1,45,71.18,Product-1,4
2,Product 2,Product description 2,14,29.99,Product-2,4
3,Product 3,Product description 3,36,166.92,Product-3,6
4,Product 4,Product description 4,16,166.81,Product-4,20
5,Product 5,Product description 5,38,98.96,Product-5,15
6,Product 6,Product description 6,50,65.61,Product-6,9
7,Product 7,Product description 7,2,193.6,Product-7,6
8,Product 8,Product description 8,2,168.95,Product-8,11
9,Product 9,Product description 9,42,128.72,Product-9,4
10,Product 10,Product description 10,38,141.36,Product-10,16
11,Product 11,Product description 11,31,108.2,Product-11,17
12,Product 12,Product description 12,35,93.38,Product-12,6
13,Product 13,Product description 13,1,145.39,Product-13,4
14,Product 14,Product description 14,2,108.03,Product-14,1
15,Product 15,Product description 15,8,52,Product-15,17
16,Product 16,Product description 16,0,32.03,Product-16,5
17,Product 17,Product description 17,50,27.66,Product-17,10
18,Product 18,Product description 18,38,121.12,Product-18,7
19,Product 19,Product description 19,49,136.34,Product-19,8
20,Product 20,Product description 20,41,161.98,Product-20,11
21,Product 21,Product description 21,34,195.05,Product-21,4
22,Product 22,Product description 22,8,81.23,Product-22,4
23,Product 23,Product description 23,48,58.18,Product-23,13
24,Product 24,Product description 24,5,83.02,Product-24,6
25,Product 25,Product description 25,24,113.46,Product-25,18
26,Product 26,Product description 26,49,65.02,Product-26,10
27,Product 27,Product description 27,11,20.85,Product-27,18
28,Product 28,Product description 28,13,197.17,Product-28,5
29,Product 29,Product description 29,5,24.38,Product-29,6
30,Product 30,Product description 30,25,169.04,Product-30,18
31,Product 31,Product description 31,12,166.19,Product-31,1
32,Product 32,Product description 32,19,139.85,Product-32,15
33,Product 33,Product description 33,30,19.81,Product-33,8
34,Product 34,Product description 34,10,24.83,Product-34,10
35,Product 35,Product description 35,42,161.45,Product-35,14
36,Product 36,Product description 36,48,105.95,Product-36,20
37,Product 37,Product description 37,38,55.93,Product-37,1
38,Product 38,Product description 38,30,111.1,Product-38,12
39,Product 39,Product description 39,24,29.96,Product-39,1
40,Product 40,Product description 40,7,121.25,Product-40,9
41,Product 41,Product description 41,3,91.43,Product-41,9
42,Product 42,Product description 42,37,118.55,Product-42,10
43,Product 43,Product description 43,49,18.77,Product-43,12
44,Product 44,Product description 44,8,9.47,Product-44,5
45,Product 45,Product description 45,32,82.7,Product-45,16
46,Product 46,Product description 46,23,191.46,Product-46,13
47,Product 47,Product description 47,32,103.03,Product-47,13
48,Product 48,Product description 48,42,123.13,Product-48,1
49,Product 49,Product description 49,6,45.94,Product-49,4
50,Product 50,Product description 50,49,4.16,Product-50,11
51,Product 51,Product description 51,35,66.51,Product-51,13
52,Product 52,Product description 52,11,24.16,Product-52,15
53,Product 53,Product description 53,10,98.71,Product-53,6
54,Product 54,Product description 54,44,59.19,Product-54,6
55,Product 55,Product description 55,24,139.08,Product-55,14
56,Product 56,Product description 56,3,2.94,Product-56,18
57,Product 57,Product description 57,39,133.44,Product-57,18
58,Product 58,Product description 58,41,135.3,Product-58,16
59,Product 59,Product description 59,42,28.58,Product-59,16
60,Product 60,Product description 60,47,139.6,Product-60,16
61,Product 61,Product description 61,27,153.92,Product-61,16
62,Product 62,Product description 62,48,108.01,Product-62,17
63,Product 63,Product description 63,41,17.64,Product-63,15
64,Product 64,Product description 64,42,56.37,Product-64,15
65,Product 65,Product description 65,31,193.73,Product-65,15
66,Product 66,Product description 66,26,134.04,Product-66,16
67,Product 67,Product description 67,1,24.46,Product-67,17
68,Product 68,Product description 68,26,86.15,Product-68,3
69,Product 69,Product description 69,27,197.74,Product-69,8
70,Product 70,Product description 70,14,101.93,Product-70,1
71,Product 71,Product description 71,13,69.89,Product-71,16
72,Product 72,Product description 72,45,82.25,Product-72,16
73,Product 73,Product description 73,6,124.19,Product-73,3
74,Product 74,Product description 74,14,70.12,Product-74,3
75,Product 75,Product description 75,41,17.44,Product-75,19
76,Product 76,Product description 76,12,163.57,Product-76,10
77,Product 77,Product description 77,28,188.63,Product-77,3
78,Product 78,Product description 78,20,77.88,Product-78,16
79,Product 79,Product description 79,50,60.84,Product-79,10
80,Product 80,Product description 80,41,12.85,Product-80,1
81,Product 81,Product description 81,31,198.67,Product-81,17
82,Product 82,Product description 82,9,29.29,Product-82,13
83,Product 83,Product description 83,46,2.2,Product-83,15
84,Product 84,Product description 84,22,147.82,Product-84,13
85,Product 85,Product description 85,15,44.01,Product-85,12
86,Product 86,Product description 86,2,23.69,Product-86,5
87,Product 87,Product description 87,26,172.02,Product-87,10
88,Product 88,Product description 88,3,135.23,Product-88,19
89,Product 89,Product description 89,46,27.01,Product-89,2
90,Product 90,Product description 90,37,197.33,Product-90,8
91,Product 91,Product description 91,16,151.83,Product-91,4
92,Product 92,Product description 92,12,70.43,Product-92,7
93,Product 93,Product description 93,46,43.39,Product-93,7
94,Product 94,Product description 94,6,83.08,Product-94,1
95,Product 95,Product description 95,21,158.24,Product-95,1
96,Product 96,Product description 96,39,136.29,Product-96,7
97,Product 97,Product description 97,47,154.25,Product-97,7
98,Product 98,Product description 98,29,104.9,Product-98,2
99,Product 99,Product description 99,37,165.41,Product-99,8
100,Product 100,Product description 100,32,109.57,Product-100,1
101,Product 101,Product description 101,3,175.38,Product-101,5
102,Product 102,Product description 102,37,129.1,Product-102,15
103,Product 103,Product description 103,4,109.37,Product-103,20
104,Product 104,Product description 104,7,142.87,Product-104,19
105,Product 105,Product description 105,23,148.93,Product-105,16
106,Product 106,Product description 106,46,134.86,Product-106,10
107,Product 107,Product description 107,14,118.89,Product-107,5
108,Product 108,Product description 108,33,47.17,Product-108,4
109,Product 109,Product description 109,4,64.95,Product-109,3
110,Product 110,Product description 110,4,123.14,Product-110,12
111,Product 111,Product description 111,29,40.33,Product-111,3
112,Product 112,Product description 112,31,158.37,Product-112,5
113,Product 113,Product description 113,48,191.56,Product-113,18
114,Product 114,Product description 114,20,149.56,Product-114,4
115,Product 115,Product description 115,2,19.25,Product-115,19
116,Product 116,Product description 116,26,101.29,Product-116,1
117,Product 117,Product description 117,21,151.55,Product-117,4
118,Product 118,Product description 118,21,163.01,Product-118,5
119,Product 119,Product description 119,45,103.07,Product-119,1
120,Product 120,Product description 120,50,116.85,Product-120,18
121,Product 121,Product description 121,19,110.52,Product-121,10
122,Product 122,Product description 122,23,180.45,Product-122,11
123,Product 123,Product description 123,42,21.69,Product-123,19
124,Product 124,Product description 124,6,113.49,Product-124,7
125,Product 125,Product description 125,24,166.21,Product-125,14
126,Product 126,Product description 126,9,7.19,Product-126,17
127,Product 127,Product description 127,13,52.13,Product-127,12
128,Product 128,Product description 128,16,74.67,Product-128,6
129,Product 129,Product description 129,50,49.57,Product-129,11
130,Product 130,Product description 130,25,164.33,Product-130,9
131,Product 131,Product description 131,37,197.41,Product-131,19
132,Product 132,Product description 132,32,197.77,Product-132,13
133,Product 133,Product description 133,39,24.54,Product-133,7
134,Product 134,Product description 134,43,76.92,Product-134,7
135,Product 135,Product description 135,45,192.2,Product-135,20
136,Product 136,Product description 136,18,142.41,Product-136,5
137,Product 137,Product description 137,41,167.61,Product-137,18
138,Product 138,Product description 138,43,73.32,Product-138,16
139,Product 139,Product description 139,31,174.41,Product-139,16
140,Product 140,Product description 140,40,183.08,Product-140,19
141,Product 141,Product description 141,42,48.58,Product-141,11
142,Product 142,Product description 142,31,191.62,Product-142,3
143,Product 143,Product description 143,36,190.64,Product-143,4
144,Product 144,Product description 144,16,153.42,Product-144,17
145,Product 145,Product description 145,12,33.21,Product-145,17
146,Product 146,Product description 146,19,2.88,Product-146,20
147,Product 147,Product description 147,48,12.28,Product-147,17
148,Product 148,Product description 148,32,29.47,Product-148,17
149,Product 149,Product description 149,10,142.66,Product-149,4
150,Product 150,Product description 150,25,152.09,Product-150,14
151,Product 151,Product description 151,32,82.96,Product-151,8
152,Product 152,Product description 152,40,105.62,Product-152,4
153,Product 153,Product description 153,4,33.21,Product-153,2
154,Product 154,Product description 154,48,42.88,Product-154,3
155,Product 155,Product description 155,33,120.35,Product-155,5
156,Product 156,Product description 156,2,38.84,Product-156,15
157,Product 157,Product description 157,3,102.24,Product-157,11
158,Product 158,Product description 158,36,175.75,Product-158,17
159,Product 159,Product description 159,36,186.14,Product-159,6
160,Product 160,Product description 160,4,149.82,Product-160,3
161,Product 161,Product description 161,11,62.76,Product-161,5
162,Product 162,Product description 162,12,180.48,Product-162,11
163,Product 163,Product description 163,28,102.32,Product-163,11
164,Product 164,Product description 164,15,51.64,Product-164,9
165,Product 165,Product description 165,23,136.01,Product-165,15
166,Product 166,Product description 166,0,160.94,Product-166,17
167,Product 167,Product description 167,22,58.7,Product-167,17
168,Product 168,Product description 168,21,135.38,Product-168,20
169,Product 169,Product description 169,29,191.98,Product-169,16
170,Product 170,Product description 170,20,118.78,Product-170,11
171,Product 171,Product description 171,48,99.03,Product-171,3
172,Product 172,Product description 172,35,63.93,Product-172,7
